"userID","ImproverScore","ImproverAccuracy","ImproverRT","AllImprove","postScore"
17652,FALSE,FALSE,FALSE,FALSE,FALSE
16932,TRUE,FALSE,TRUE,FALSE,TRUE
16934,TRUE,TRUE,TRUE,TRUE,TRUE
16947,TRUE,FALSE,FALSE,FALSE,TRUE
16947,TRUE,FALSE,TRUE,FALSE,TRUE
17248,FALSE,FALSE,TRUE,FALSE,FALSE
17248,FALSE,FALSE,TRUE,FALSE,FALSE
16926,TRUE,FALSE,TRUE,FALSE,TRUE
16934,TRUE,TRUE,TRUE,TRUE,TRUE
16933,TRUE,TRUE,FALSE,FALSE,TRUE
16929,FALSE,FALSE,FALSE,FALSE,TRUE
16928,TRUE,FALSE,TRUE,FALSE,TRUE
16928,TRUE,FALSE,FALSE,FALSE,TRUE
16922,TRUE,FALSE,TRUE,FALSE,TRUE
16924,TRUE,FALSE,TRUE,FALSE,TRUE
16931,TRUE,TRUE,FALSE,FALSE,TRUE
16935,TRUE,TRUE,TRUE,TRUE,TRUE
16932,TRUE,FALSE,TRUE,FALSE,TRUE
16984,TRUE,TRUE,FALSE,FALSE,TRUE
16921,TRUE,TRUE,TRUE,TRUE,FALSE
16923,TRUE,FALSE,TRUE,FALSE,TRUE
16925,TRUE,TRUE,TRUE,TRUE,TRUE
16927,FALSE,FALSE,TRUE,FALSE,FALSE
16994,TRUE,TRUE,FALSE,FALSE,TRUE
17026,TRUE,FALSE,FALSE,FALSE,TRUE
17010,FALSE,FALSE,FALSE,FALSE,TRUE
16948,TRUE,FALSE,TRUE,FALSE,TRUE
16947,TRUE,FALSE,TRUE,FALSE,TRUE
16947,TRUE,TRUE,FALSE,FALSE,TRUE
16945,TRUE,FALSE,FALSE,FALSE,FALSE
16946,TRUE,TRUE,FALSE,FALSE,TRUE
16950,TRUE,FALSE,TRUE,FALSE,TRUE
16930,TRUE,FALSE,TRUE,FALSE,TRUE
16936,TRUE,FALSE,TRUE,FALSE,TRUE
16937,TRUE,FALSE,TRUE,FALSE,TRUE
16938,FALSE,FALSE,FALSE,FALSE,TRUE
16938,FALSE,FALSE,FALSE,FALSE,TRUE
16940,FALSE,FALSE,FALSE,FALSE,TRUE
16941,TRUE,FALSE,TRUE,FALSE,TRUE
16949,TRUE,TRUE,FALSE,FALSE,TRUE
16951,FALSE,FALSE,TRUE,FALSE,FALSE
16951,FALSE,TRUE,FALSE,FALSE,TRUE
16952,FALSE,FALSE,FALSE,FALSE,FALSE
16953,FALSE,FALSE,FALSE,FALSE,TRUE
16954,FALSE,FALSE,FALSE,FALSE,TRUE
16955,TRUE,TRUE,FALSE,FALSE,TRUE
16956,TRUE,FALSE,FALSE,FALSE,TRUE
16957,FALSE,FALSE,FALSE,FALSE,TRUE
16959,TRUE,TRUE,FALSE,FALSE,TRUE
16960,TRUE,FALSE,TRUE,FALSE,TRUE
16996,TRUE,TRUE,FALSE,FALSE,TRUE
16998,TRUE,FALSE,FALSE,FALSE,TRUE
17043,TRUE,FALSE,TRUE,FALSE,TRUE
17051,TRUE,TRUE,FALSE,FALSE,TRUE
17058,FALSE,FALSE,FALSE,FALSE,TRUE
17060,TRUE,TRUE,TRUE,TRUE,TRUE
17059,TRUE,TRUE,TRUE,TRUE,TRUE
17060,TRUE,TRUE,TRUE,TRUE,TRUE
17061,FALSE,FALSE,FALSE,FALSE,FALSE
17062,TRUE,FALSE,TRUE,FALSE,TRUE
17062,TRUE,TRUE,FALSE,FALSE,TRUE
17063,TRUE,TRUE,FALSE,FALSE,TRUE
17064,TRUE,TRUE,TRUE,TRUE,TRUE
17065,TRUE,FALSE,FALSE,FALSE,TRUE
17066,FALSE,FALSE,FALSE,FALSE,FALSE
17067,TRUE,TRUE,FALSE,FALSE,FALSE
17067,TRUE,FALSE,TRUE,FALSE,FALSE
17068,TRUE,FALSE,TRUE,FALSE,TRUE
17069,FALSE,FALSE,TRUE,FALSE,FALSE
17069,TRUE,TRUE,TRUE,TRUE,FALSE
17070,TRUE,FALSE,TRUE,FALSE,TRUE
17071,TRUE,TRUE,FALSE,FALSE,TRUE
17072,TRUE,TRUE,TRUE,TRUE,TRUE
17073,TRUE,TRUE,TRUE,TRUE,TRUE
17074,TRUE,FALSE,TRUE,FALSE,TRUE
17075,FALSE,TRUE,FALSE,FALSE,TRUE
17076,TRUE,TRUE,TRUE,TRUE,FALSE
17077,TRUE,FALSE,FALSE,FALSE,TRUE
17083,FALSE,FALSE,FALSE,FALSE,TRUE
17083,TRUE,FALSE,TRUE,FALSE,TRUE
17084,TRUE,FALSE,TRUE,FALSE,TRUE
17084,TRUE,TRUE,TRUE,TRUE,TRUE
17085,TRUE,FALSE,FALSE,FALSE,TRUE
17085,FALSE,FALSE,FALSE,FALSE,TRUE
17086,TRUE,TRUE,TRUE,TRUE,TRUE
17087,TRUE,TRUE,TRUE,TRUE,TRUE
17087,TRUE,TRUE,TRUE,TRUE,TRUE
17088,TRUE,FALSE,TRUE,FALSE,TRUE
17089,FALSE,FALSE,TRUE,FALSE,TRUE
17089,TRUE,FALSE,TRUE,FALSE,TRUE
17090,TRUE,FALSE,TRUE,FALSE,TRUE
17091,TRUE,FALSE,TRUE,FALSE,TRUE
17092,TRUE,TRUE,TRUE,TRUE,TRUE
17093,FALSE,FALSE,FALSE,FALSE,TRUE
17094,FALSE,FALSE,FALSE,FALSE,TRUE
17095,TRUE,FALSE,TRUE,FALSE,TRUE
17096,FALSE,FALSE,FALSE,FALSE,FALSE
17097,TRUE,FALSE,TRUE,FALSE,TRUE
17098,TRUE,FALSE,FALSE,FALSE,TRUE
17099,TRUE,FALSE,TRUE,FALSE,TRUE
17100,TRUE,FALSE,TRUE,FALSE,TRUE
17132,TRUE,FALSE,FALSE,FALSE,TRUE
17133,TRUE,TRUE,FALSE,FALSE,TRUE
17134,FALSE,FALSE,FALSE,FALSE,TRUE
17135,TRUE,TRUE,TRUE,TRUE,TRUE
17136,TRUE,TRUE,FALSE,FALSE,TRUE
17137,FALSE,FALSE,FALSE,FALSE,FALSE
17138,TRUE,TRUE,TRUE,TRUE,TRUE
17139,FALSE,FALSE,FALSE,FALSE,TRUE
17140,TRUE,FALSE,TRUE,FALSE,TRUE
17141,FALSE,FALSE,FALSE,FALSE,TRUE
17142,TRUE,TRUE,FALSE,FALSE,TRUE
17143,TRUE,TRUE,TRUE,TRUE,TRUE
17144,FALSE,FALSE,FALSE,FALSE,TRUE
17144,FALSE,FALSE,TRUE,FALSE,TRUE
17145,FALSE,FALSE,TRUE,FALSE,FALSE
17146,FALSE,FALSE,FALSE,FALSE,FALSE
17147,TRUE,FALSE,TRUE,FALSE,TRUE
17149,TRUE,FALSE,TRUE,FALSE,TRUE
17150,FALSE,FALSE,FALSE,FALSE,TRUE
17150,TRUE,FALSE,TRUE,FALSE,TRUE
17151,FALSE,FALSE,FALSE,FALSE,TRUE
17156,TRUE,FALSE,FALSE,FALSE,FALSE
17157,TRUE,TRUE,FALSE,FALSE,TRUE
17157,TRUE,TRUE,TRUE,TRUE,TRUE
17158,FALSE,FALSE,FALSE,FALSE,TRUE
17159,TRUE,TRUE,TRUE,TRUE,TRUE
17160,TRUE,TRUE,TRUE,TRUE,FALSE
17161,FALSE,FALSE,TRUE,FALSE,FALSE
17162,FALSE,FALSE,TRUE,FALSE,FALSE
17162,TRUE,TRUE,TRUE,TRUE,FALSE
17163,TRUE,FALSE,TRUE,FALSE,TRUE
17164,FALSE,FALSE,FALSE,FALSE,TRUE
17166,TRUE,FALSE,FALSE,FALSE,TRUE
17167,FALSE,FALSE,FALSE,FALSE,TRUE
17168,TRUE,TRUE,FALSE,FALSE,TRUE
17169,TRUE,TRUE,TRUE,TRUE,TRUE
17170,TRUE,FALSE,TRUE,FALSE,TRUE
17172,TRUE,FALSE,TRUE,FALSE,TRUE
17172,TRUE,TRUE,TRUE,TRUE,TRUE
17173,FALSE,TRUE,FALSE,FALSE,TRUE
17174,TRUE,FALSE,FALSE,FALSE,FALSE
17174,TRUE,FALSE,TRUE,FALSE,FALSE
17344,FALSE,FALSE,FALSE,FALSE,TRUE
17343,TRUE,TRUE,TRUE,TRUE,TRUE
17343,FALSE,FALSE,TRUE,FALSE,TRUE
17345,TRUE,FALSE,TRUE,FALSE,TRUE
17345,TRUE,FALSE,TRUE,FALSE,TRUE
17346,FALSE,FALSE,FALSE,FALSE,TRUE
17346,FALSE,FALSE,FALSE,FALSE,TRUE
17347,TRUE,TRUE,FALSE,FALSE,TRUE
17347,FALSE,FALSE,FALSE,FALSE,TRUE
16770,FALSE,FALSE,FALSE,FALSE,FALSE
16771,FALSE,FALSE,TRUE,FALSE,TRUE
16772,FALSE,FALSE,TRUE,FALSE,FALSE
16773,FALSE,FALSE,FALSE,FALSE,FALSE
16774,TRUE,TRUE,TRUE,TRUE,TRUE
16775,FALSE,FALSE,FALSE,FALSE,TRUE
16776,FALSE,FALSE,FALSE,FALSE,FALSE
16776,FALSE,FALSE,FALSE,FALSE,TRUE
16777,TRUE,TRUE,TRUE,TRUE,TRUE
16778,TRUE,TRUE,TRUE,TRUE,TRUE
16779,FALSE,FALSE,TRUE,FALSE,TRUE
16780,TRUE,TRUE,TRUE,TRUE,TRUE
16781,TRUE,TRUE,TRUE,TRUE,FALSE
16782,TRUE,TRUE,TRUE,TRUE,FALSE
16783,FALSE,FALSE,FALSE,FALSE,TRUE
16784,FALSE,FALSE,FALSE,FALSE,TRUE
16785,FALSE,FALSE,FALSE,FALSE,TRUE
